         150678 function calls (140598 primitive calls) in 0.584 CPU seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.004    0.001 loaders.py:189(get_source)
       62    0.000    0.000    0.000    0.000 cursors.py:87(nextset)
       21    0.000    0.000    0.000    0.000 memcache.py:231(_get_server)
       10    0.000    0.000    0.060    0.006 parser.py:256(parse_macro)
      8/7    0.000    0.000    0.036    0.005 parser.py:109(parse_for)
        1    0.000    0.000    0.000    0.000 wsgi.py:129(_load_post_and_files)
        1    0.000    0.000    0.000    0.000 {delattr}
       62    0.000    0.000    0.008    0.000 __init__.py:54(cursor)
        4    0.000    0.000    0.000    0.000 copy.py:300(_reconstruct)
      200    0.000    0.000    0.000    0.000 datastructures.py:113(keys)
       80    0.000    0.000    0.000    0.000 {round}
      922    0.000    0.000    0.000    0.000 {id}
       16    0.000    0.000    0.000    0.000 sre_compile.py:184(_compile_charset)
        2    0.000    0.000    0.000    0.000 query.py:196(__getitem__)
        1    0.000    0.000    0.000    0.000 util.py:39(as_ul)
        1    0.000    0.000    0.000    0.000 {_warnings.warn}
      124    0.000    0.000    0.000    0.000 base.py:101(__getattr__)
       62    0.000    0.000    0.012    0.000 cursors.py:316(_post_get_result)
       20    0.000    0.000    0.016    0.001 models.py:162(rating)
      540    0.000    0.000    0.000    0.000 base.py:143(quote_name)
       75    0.000    0.000    0.000    0.000 __init__.py:26(__getattr__)
        1    0.000    0.000    0.000    0.000 connections.py:178(_get_string_literal)
       67    0.000    0.000    0.000    0.000 options.py:201(get_fields_with_model)
      418    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 runtime.py:198(__init__)
        2    0.000    0.000    0.000    0.000 query.py:777(promote_alias_chain)
        7    0.000    0.000    0.000    0.000 {built-in method acquire}
        8    0.000    0.000    0.000    0.000 {_sre.compile}
        1    0.000    0.000    0.000    0.000 compiler.py:1414(visit_Keyword)
        3    0.000    0.000    0.000    0.000 parser.py:170(parse_include)
  125/106    0.000    0.000    0.016    0.000 parser.py:559(parse_postfix)
      281    0.000    0.000    0.000    0.000 sre_parse.py:136(__getitem__)
       21    0.000    0.000    0.020    0.001 memcache.py:648(get)
       20    0.000    0.000    0.000    0.000 query.py:756(unref_alias)
       63    0.000    0.000    0.008    0.000 parser.py:574(parse_subscript)
       62    0.000    0.000    0.000    0.000 cursors.py:273(_do_query)
      112    0.000    0.000    0.000    0.000 compiler.py:255(visit_Name)
        2    0.000    0.000    0.000    0.000 forms.py:20(pretty_name)
      665    0.000    0.000    0.004    0.000 compiler.py:445(newline)
       30    0.000    0.000    0.000    0.000 parser.py:273(parse_assign_target)
        3    0.000    0.000    0.000    0.000 compiler.py:819(visit_Include)
       26    0.000    0.000    0.004    0.000 compiler.py:1404(visit_Call)
       21    0.000    0.000    0.000    0.000 runtime.py:296(next)
        8    0.000    0.000    0.000    0.000 compiler.py:118(find_shadowed)
        8    0.000    0.000    0.000    0.000 runtime.py:76()
       21    0.000    0.000    0.000    0.000 :1(sendall)
       13    0.000    0.000    0.000    0.000 compiler.py:1312(visit_Compare)
       38    0.000    0.000    0.024    0.001 compiler.py:178(inspect)
        1    0.000    0.000    0.000    0.000 forms.py:115(is_valid)
        8    0.000    0.000    0.000    0.000 sre_parse.py:73(__init__)
      122    0.000    0.000    0.004    0.000 parser.py:735(flush_data)
       62    0.000    0.000    0.000    0.000 cursors.py:309(_get_result)
      205    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        6    0.000    0.000    0.000    0.000 genericpath.py:15(exists)
       22    0.000    0.000    0.000    0.000 {method 'has_key' of 'dict' objects}
       63    0.000    0.000    0.000    0.000 {method 'character_set_name' of '_mysql.connection' objects}
       41    0.000    0.000    0.000    0.000 runtime.py:305(__init__)
       12    0.000    0.000    0.000    0.000 query.py:165(__iter__)
        1    0.000    0.000    0.000    0.000 unicode_escape.py:8()
       42    0.000    0.000    0.004    0.000 memcache.py:879(readline)
      139    0.000    0.000    0.004    0.000 query.py:124(__init__)
        9    0.000    0.000    0.000    0.000 compiler.py:124()
       40    0.000    0.000    0.000    0.000 format.py:11(smart_round)
        2    0.000    0.000    0.000    0.000 codecs.py:77(__new__)
     1282    0.000    0.000    0.000    0.000 {built-in method group}
       10    0.000    0.000    0.000    0.000 filters.py:193(do_default)
       30    0.000    0.000    0.000    0.000 nodes.py:372(can_assign)
       62    0.000    0.000    0.000    0.000 {method 'affected_rows' of '_mysql.connection' objects}
        4    0.000    0.000    0.112    0.028 index.html:14(block_content)
       66    0.000    0.000    0.000    0.000 datastructures.py:109(iteritems)
        2    0.000    0.000    0.000    0.000 query.py:1580(clear_ordering)
        1    0.000    0.000    0.584    0.584 response.py:31(render)
       10    0.000    0.000    0.000    0.000 parser.py:221(parse_signature)
       16    0.000    0.000    0.000    0.000 re.py:204(escape)
      420    0.000    0.000    0.092    0.000 environment.py:329(getattr)
        1    0.000    0.000    0.000    0.000 fields.py:409(clean)
       62    0.000    0.000    0.000    0.000 connections.py:217(cursor)
       62    0.000    0.000    0.000    0.000 {method 'next_result' of '_mysql.connection' objects}
       30    0.000    0.000    0.000    0.000 macros.html:191(macro)
        1    0.000    0.000    0.000    0.000 runtime.py:109(get_exported)
       10    0.000    0.000    0.000    0.000 compiler.py:265(visit_Macro)
       21    0.000    0.000    0.000    0.000 parser.py:639(ensure)
       62    0.000    0.000    0.000    0.000 base.py:78(__init__)
        7    0.000    0.000    0.000    0.000 loading.py:86(app_cache_ready)
      320    0.000    0.000    0.000    0.000 dispatcher.py:127(send)
       71    0.000    0.000    0.000    0.000 tree.py:83(add)
        8    0.000    0.000    0.000    0.000 parser.py:510()
        1    0.000    0.000    0.000    0.000 __init__.py:71(Connect)
        1    0.000    0.000    0.000    0.000 urlparse.py:316(parse_qsl)
