         150678 function calls (140598 primitive calls) in 0.584 CPU seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
        4    0.000    0.000    0.000    0.000 parser.py:161(parse_import_context)
       21    0.000    0.000    0.000    0.000 memcache.py:831(_check_dead)
        5    0.000    0.000    0.004    0.001 options.py:343(get_all_related_objects_with_model)
    60/25    0.000    0.000    0.088    0.004 parser.py:79(parse_statements)
        1    0.000    0.000    0.000    0.000 {method 'startswith' of 'unicode' objects}
    17/15    0.000    0.000    0.000    0.000 nodes.py:492(as_const)
       94    0.000    0.000    0.000    0.000 datastructures.py:122(itervalues)
        2    0.000    0.000    0.000    0.000 base.html:69(block_title)
       13    0.000    0.000    0.000    0.000 compiler.py:1317(visit_Operand)
        6    0.000    0.000    0.412    0.069 environment.py:476(get_template)
       66    0.000    0.000    0.540    0.008 index.html:5(root)
       62    0.000    0.000    0.000    0.000 {built-in method describe}
        8    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        5    0.000    0.000    0.000    0.000 options.py:233(get_m2m_with_model)
       40    0.000    0.000    0.000    0.000 {sum}
        1    0.000    0.000    0.000    0.000 widgets.py:211(render)
        6    0.000    0.000    0.000    0.000 lexer.py:220(close)
    18/12    0.000    0.000    0.048    0.004 parser.py:128(parse_if)
      8/7    0.000    0.000    0.004    0.001 compiler.py:214(visit_Filter)
       71    0.000    0.000    0.000    0.000 converters.py:50(Thing2Str)
       16    0.000    0.000    0.000    0.000 {zip}
        1    0.000    0.000    0.000    0.000 compiler.py:773(visit_Extends)
       60    0.000    0.000    0.000    0.000 __init__.py:174(get_internal_type)
       67    0.000    0.000    0.000    0.000 sre_parse.py:96(__init__)
       62    0.000    0.000    0.000    0.000 cursors.py:107(_do_get_result)
       65    0.000    0.000    0.000    0.000 encoding.py:25(smart_unicode)
        2    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
       62    0.000    0.000    0.000    0.000 util.py:12(__init__)
      459    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
  164/152    0.000    0.000    0.004    0.000 copy.py:224(_deepcopy_list)
      101    0.000    0.000    0.000    0.000 compiler.py:1232(visit_Name)
       10    0.000    0.000    0.000    0.000 compiler.py:244(visit_Block)
       16    0.000    0.000    0.004    0.000 datastructures.py:106(items)
      303    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        2    0.000    0.000    0.000    0.000 lexer.py:192(skip)
      124    0.000    0.000    0.000    0.000 {time.time}
        6    0.000    0.000    0.000    0.000 {open}
        1    0.000    0.000    0.000    0.000 wsgi.py:167(_get_post)
        4    0.000    0.000    0.012    0.003 compiler.py:1053(visit_CallBlock)
        5    0.000    0.000    0.000    0.000 environment.py:464(join_path)
       14    0.000    0.000    0.000    0.000 compiler.py:392(start_write)
       62    0.000    0.000    0.000    0.000 {method 'query' of '_mysql.connection' objects}
        6    0.000    0.000    0.000    0.000 environment.py:512(make_globals)
      502    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        2    0.000    0.000    0.000    0.000 widgets.py:143(__deepcopy__)
        8    0.000    0.000    0.008    0.001 sre_parse.py:669(parse)
        2    0.000    0.000    0.000    0.000 query.py:672(find_ordering_name)
        6    0.000    0.000    0.028    0.005 environment.py:384(_tokenize)
  125/105    0.000    0.000    0.036    0.000 parser.py:359(parse_add)
       21    0.000    0.000    0.000    0.000 {cPickle.Unpickler}
      244    0.000    0.000    0.000    0.000 sre_parse.py:188(__next)
        5    0.000    0.000    0.000    0.000 runtime.py:66(__init__)
      334    0.000    0.000    0.028    0.000 lexer.py:226(expect)
       71    0.000    0.000    0.000    0.000 __init__.py:185(lookup_cast)
        8    0.000    0.000    0.004    0.001 compiler.py:545(pop_scope)
        1    0.000    0.000    0.000    0.000 environment.py:665(make_module)
       47    0.000    0.000    0.000    0.000 sre_parse.py:216(isident)
       71    0.000    0.000    0.000    0.000 query.py:125(get_meta)
     62/1    0.000    0.000    0.112    0.112 runtime.py:317(__call__)
        6    0.000    0.000    0.000    0.000 genericpath.py:52(getmtime)
       16    0.000    0.000    0.000    0.000 sre_compile.py:480(isstring)
        1    0.000    0.000    0.000    0.000 cgi.py:188(parse_qsl)
        1    0.000    0.000    0.000    0.000 utf_8.py:33(getregentry)
     1161    0.000    0.000    0.000    0.000 lexer.py:108(test)
      624    0.000    0.000    0.008    0.000 connections.py:189(string_decoder)
       11    0.000    0.000    0.000    0.000 __init__.py:668(get_db_prep_value)
        1    0.000    0.000    0.000    0.000 util.py:36(__unicode__)
        6    0.000    0.000    0.164    0.027 environment.py:342(parse)
        2    0.000    0.000    0.000    0.000 options.py:391(_fill_related_many_to_many_cache)
       17    0.000    0.000    0.000    0.000 nodes.py:567(as_const)
       31    0.000    0.000    0.000    0.000 compiler.py:1237(visit_Const)
    70/16    0.000    0.000    0.076    0.005 compiler.py:410(blockvisit)
        6    0.000    0.000    0.136    0.023 parser.py:770(parse)
        2    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       71    0.000    0.000    0.000    0.000 __init__.py:194(get_db_prep_lookup)
      186    0.000    0.000    0.000    0.000 cursors.py:68(_check_executed)
       62    0.000    0.000    0.000    0.000 sre_parse.py:263(_escape)
       23    0.000    0.000    0.000    0.000 manager.py:68(get_query_set)
       18    0.000    0.000    0.000    0.000 sre_parse.py:140(__setitem__)
        1    0.000    0.000    0.000    0.000 {function set_character_set at 0xcb87d0}
        4    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
       21    0.000    0.000    0.004    0.000 memcache.py:757(_recv_value)
       62    0.000    0.000    0.008    0.000 base.py:242(_cursor)
       10    0.000    0.000    0.052    0.005 compiler.py:1043(visit_Macro)
        8    0.000    0.000    0.004    0.001 parser.py:601(parse_subscribed)
        3    0.000    0.000    0.000    0.000 runtime.py:425(__nonzero__)
       12    0.000    0.000    0.004    0.000 utils.py:544(get)
       27    0.000    0.000    0.000    0.000 {cStringIO.StringIO}
        1    0.000    0.000    0.000    0.000 unicode_escape.py:24(IncrementalDecoder)
        2    0.000    0.000    0.000    0.000 forms.py:131(add_initial_prefix)
       11    0.000    0.000    0.000    0.000 manager.py:77(all)
        1    0.000    0.000    0.000    0.000 Cookie.py:571(__init__)
        6    0.000    0.000    0.000    0.000 lexer.py:378(tokenize)
       20    0.000    0.000    0.000    0.000 related.py:298(RelatedManager)
        4    0.000    0.000    0.000    0.000 manager.py:149(__get__)
       62    0.000    0.000    0.020    0.000 base.py:81(execute)
       18    0.000    0.000    0.000    0.000 pkg_resources.py:1190(_fn)
        9    0.000    0.000    0.016    0.002 re.py:227(_compile)
        2    0.000    0.000    0.000    0.000 query.py:760(promote_alias)
        6    0.000    0.000    0.000    0.000 pkg_resources.py:1234(_has)
       22    0.000    0.000    0.000    0.000 compiler.py:170(copy)
      145    0.000    0.000    0.004    0.000 datastructures.py:62(__init__)
     1084    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       11    0.000    0.000    0.000    0.000 sre_parse.py:78(opengroup)
       60    0.000    0.000    0.000    0.000 __init__.py:350(get_db_prep_value)
      208    0.000    0.000    0.000    0.000 nodes.py:313(as_const)
       11    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 compiler.py:1443(visit_Break)
       10    0.000    0.000    0.000    0.000 runtime.py:238(cycle)
       21    0.000    0.000    0.004    0.000 memcache.py:745(_expectvalue)
      222    0.000    0.000    0.052    0.000 query.py:200(results_iter)
  125/105    0.000    0.000    0.032    0.000 parser.py:429(parse_pow)
        8    0.000    0.000    0.000    0.000 functional.py:54(_curried)
        1    0.000    0.000    0.000    0.000 runtime.py:78(super)
        1    0.000    0.000    0.000    0.000 email_form.html:1()
        6    0.000    0.000    0.044    0.007 optimizer.py:23(optimize)
        2    0.000    0.000    0.000    0.000 footer.html:5(root)
      338    0.000    0.000    0.000    0.000 {built-in method groupdict}
       62    0.000    0.000    0.000    0.000 cursors.py:62(close)
      145    0.000    0.000    0.000    0.000 datastructures.py:57(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:160(_set_encoding)
       62    0.000    0.000    0.000    0.000 {method 'warning_count' of '_mysql.connection' objects}
      204    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 forms.py:343(as_widget)
       63    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       21    0.000    0.000    0.000    0.000 memcache.py:872(send_cmd)
       62    0.000    0.000    0.000    0.000 cursors.py:338(fetchall)
       21    0.000    0.000    0.000    0.000 memcache.py:837(connect)
        1    0.000    0.000    0.540    0.540 environment.py:600(render)
       20    0.000    0.000    0.000    0.000 manager.py:24(__init__)
        3    0.000    0.000    0.000    0.000 runtime.py:378(__init__)
       20    0.000    0.000    0.016    0.001 models.py:196(raw_ratings)
    82/65    0.000    0.000    0.028    0.000 parser.py:306(parse_condexpr)
      179    0.000    0.000    0.000    0.000 sre_parse.py:207(get)
        4    0.000    0.000    0.000    0.000 options.py:428(get_parent_list)
      123    0.000    0.000    0.000    0.000 {method '__getitem__' of 'dict' objects}
       11    0.000    0.000    0.000    0.000 sre_parse.py:89(closegroup)
      101    0.000    0.000    0.008    0.000 compiler.py:1078(visit_Output)
       13    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
       67    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      101    0.000    0.000    0.000    0.000 compiler.py:110(is_declared)
        6    0.000    0.000    0.000    0.000 environment.py:381()
        2    0.000    0.000    0.000    0.000 datastructures.py:74(__deepcopy__)
        4    0.000    0.000    0.000    0.000 loading.py:42(_populate)
     66/6    0.000    0.000    0.116    0.019 parser.py:730(subparse)
        1    0.000    0.000    0.000    0.000 connections.py:188(_get_string_decoder)
      155    0.000    0.000    0.004    0.000 options.py:265(get_field_by_name)
       20    0.000    0.000    0.000    0.000 manager.py:40(_set_creation_counter)
        4    0.000    0.000    0.000    0.000 copy.py:65(copy)
       45    0.000    0.000    0.036    0.001 compiler.py:70(find_undeclared)
        1    0.000    0.000    0.000    0.000 forms.py:335(_errors)
       16    0.000    0.000    0.020    0.001 compiler.py:510(pull_dependencies)
    14/11    0.000    0.000    0.056    0.005 compiler.py:623(macro_body)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_mysql.connection' objects}
       15    0.000    0.000    0.000    0.000 compiler.py:105(add_special)
        2    0.000    0.000    0.000    0.000 base.html:65(block_meta_keywords)
        1    0.000    0.000    0.000    0.000 index.html:1()
        1    0.000    0.000    0.000    0.000 fields.py:146(clean)
       20    0.000    0.000    0.016    0.001 models.py:149(percentage)
      284    0.000    0.000    0.000    0.000 {min}
        1    0.000    0.000    0.000    0.000 footer.html:1()
        5    0.000    0.000    0.004    0.001 options.py:304(init_name_map)
        7    0.000    0.000    0.000    0.000 parser.py:679(parse_filter)
      120    0.000    0.000    0.000    0.000 sre_parse.py:132(__len__)
       16    0.000    0.000    0.000    0.000 copy_reg.py:46(_reconstructor)
        8    0.000    0.000    0.000    0.000 sre_parse.py:184(__init__)
        9    0.000    0.000    0.016    0.002 re.py:186(compile)
       22    0.000    0.000    0.000    0.000 compiler.py:187(inner)
       92    0.000    0.000    0.000    0.000 parser.py:48(is_tuple_end)
       62    0.000    0.000    0.000    0.000 {built-in method field_flags}
        1    0.000    0.000    0.000    0.000 compiler.py:837(visit_Import)
        1    0.000    0.000    0.000    0.000 widgets.py:158(build_attrs)
        3    0.000    0.000    0.000    0.000 index.html:34(block_title)
       62    0.000    0.000    0.000    0.000 query.py:599(get_ordering)
        1    0.000    0.000    0.000    0.000 unicode_escape.py:31(StreamReader)
        1    0.000    0.000    0.000    0.000 {method 'get_server_info' of '_mysql.connection' objects}
        1    0.000    0.000    0.000    0.000 parser.py:175(parse_import)
   113/12    0.000    0.000    0.116    0.010 runtime.py:119(call)
      312    0.000    0.000    0.000    0.000 lexer.py:174(__nonzero__)
       71    0.000    0.000    0.000    0.000 where.py:30(add)
      8/7    0.000    0.000    0.036    0.005 compiler.py:904(visit_For)
    205/6    0.000    0.000    0.540    0.090 {method 'join' of 'unicode' objects}
        6    0.000    0.000    0.000    0.000 environment.py:573(from_code)
       22    0.000    0.000    0.000    0.000 compiler.py:367(temporary_identifier)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}


