   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.000    0.000    0.000    0.000 query.py:125(get_meta)
       10    0.000    0.000    0.000    0.000 {method 'iteritems' of 'dict' objects}
      2/1    0.000    0.000    0.864    0.864 runtime.py:317(__call__)
       11    0.000    0.000    0.000    0.000 where.py:125(make_atom)
       61    0.000    0.000    0.092    0.002 base.html:93(block_sidebar)
       11    0.000    0.000    0.000    0.000 converters.py:50(Thing2Str)
       12    0.000    0.000    0.000    0.000 runtime.py:111()
      202    0.000    0.000    0.000    0.000 {id}
        2    0.000    0.000    0.000    0.000 runtime.py:290(__init__)
       57    0.000    0.000    0.000    0.000 encoding.py:37(force_unicode)
        2    0.000    0.000    0.000    0.000 forms.py:208(full_clean)
        4    0.000    0.000    0.000    0.000 html.py:35(conditional_escape)
       13    0.000    0.000    0.000    0.000 query.py:44(__init__)
        1    0.000    0.000    0.000    0.000 cgi.py:188(parse_qsl)
       10    0.000    0.000    0.000    0.000 {method 'split' of 'unicode' objects}
       12    0.000    0.000    0.000    0.000 cursors.py:57(__del__)
       12    0.000    0.000    0.016    0.001 cursors.py:311(_query)
        2    0.000    0.000    0.000    0.000 runtime.py:253(__iter__)
       56    0.000    0.000    0.000    0.000 models.py:228(get_visit_url)
        1    0.000    0.000    0.000    0.000 __init__.py:668(get_db_prep_value)
        1    0.000    0.000    0.000    0.000 util.py:36(__unicode__)
       12    0.000    0.000    0.000    0.000 {method 'next_result' of '_mysql.connection' objects}
        1    0.000    0.000    0.004    0.004 models.py:69(leaderboard)
      157    0.000    0.000    0.000    0.000 {_codecs.utf_8_decode}
       12    0.000    0.000    0.000    0.000 cursors.py:87(nextset)
      246    0.000    0.000    0.012    0.000 memcache.py:231(_get_server)
       12    0.000    0.000    0.000    0.000 cursors.py:62(close)
        1    0.000    0.000    0.000    0.000 wsgi.py:129(_load_post_and_files)
       13    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {delattr}
       12    0.000    0.000    0.012    0.001 query.py:484(filter)
       12    0.000    0.000    0.000    0.000 __init__.py:54(cursor)
        2    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       12    0.000    0.000    0.000    0.000 {built-in method field_flags}
        1    0.000    0.000    0.000    0.000 __init__.py:673(get_internal_type)
       12    0.000    0.000    0.000    0.000 query.py:726(table_alias)
       11    0.000    0.000    0.000    0.000 __init__.py:194(get_db_prep_lookup)
       12    0.000    0.000    0.000    0.000 tree.py:71(__nonzero__)
        4    0.000    0.000    0.000    0.000 copy.py:300(_reconstruct)
       24    0.000    0.000    0.004    0.000 util.py:39(__getattr__)
       28    0.000    0.000    0.000    0.000 files.py:18(__init__)
        3    0.000    0.000    0.000    0.000 manager.py:68(get_query_set)
       12    0.000    0.000    0.000    0.000 __init__.py:154(last_executed_query)
        2    0.000    0.000    0.000    0.000 forms.py:71(__init__)
        2    0.000    0.000    0.000    0.000 index.html:30(block_breadcrumbsdiv)
        2    0.000    0.000    0.000    0.000 base.html:64(block_meta_keywords)
